Stream ID,mezzanine radius,pic timing,VUI timing,sample entry,CMAF frag dur,init constraints,frag_type,resolution,framerate,bitrate,duration,cmaf_profile,wave_profile,cenc,sar,mezzanine_prefix_25HZ,mezzanine_prefix_30HZ
21,O1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17500,30.0,cmf2,cud1,False,1/1,sol_sdr_bt2020_,sol_sdr_bt2020_
21_enc,O1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17500,30.0,cmf2,cud1,True,1/1,sol_sdr_bt2020_,sol_sdr_bt2020_
22,O1_3840x2160,True,False,hev1,2.0,single,pframes,3840x2160,1,17500,30.0,cmfc,cud1,False,1/1,sol_sdr_bt2020_,sol_sdr_bt2020_
30,O1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17500,60.0,cmf2,cud1,False,1/1,sol_sdr_bt2020_,sol_sdr_bt2020_
31,O1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,0.5,15000,60.0,cmf2,cud1,False,1/1,sol_sdr_bt2020_,sol_sdr_bt2020_
32,M1_2560x1440,False,True,hvc1,2.0,multiple,duration,2560x1440,0.5,9000,60.0,cmf2,cud1,False,1/1,sol_sdr_bt2020_,sol_sdr_bt2020_
2_splice_main,C1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17000,-1,cmf2,cud1,False,1/1,splice_main_sol_sdr_bt2020_,splice_main_sol_sdr_bt2020_
2_splice_ad,AD-C1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17000,-1,cmf2,cud1,False,1/1,splice_ad_sol_sdr_bt2020_,splice_ad_sol_sdr_bt2020_
2_splice_main_enc,C1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17000,-1,cmf2,cud1,True,1/1,splice_main_sol_sdr_bt2020_,splice_main_sol_sdr_bt2020_
2_splice_ad_enc,AD-C1_3840x2160,False,True,hvc1,2.0,multiple,duration,3840x2160,1,17000,-1,cmf2,cud1,True,1/1,splice_ad_sol_sdr_bt2020_,splice_ad_sol_sdr_bt2020_
